part,severity,damage_area_ratio,yolo_confidence,severity_confidence,parts_cost,labor_cost,paint_cost,total_repair_cost
Headlight,moderate,0.3044,0.5257,0.7775,0.0,859.9669460903423,0.0,859.97
Windshield,severe,0.5077,0.6789,0.5689,6232.422178453787,2312.6768310966386,0.0,8545.1
Door,minor,0.0425,0.6888,0.4077,0.0,3993.1619094588864,2377.2616445288613,6370.42
Bumper,severe,0.5754,0.4682,0.9274,5757.928160682776,1909.5087278405701,5943.298500133637,13610.74
Hood,minor,0.0366,0.9411,0.8218,0.0,1741.2019084026724,2490.4311074847437,4231.63
Headlight,minor,0.0957,0.8892,0.6069,0.0,850.3130697194906,0.0,850.31
Hood,moderate,0.1547,0.827,0.8583,9706.901038730468,2100.0332205269588,2440.0820073675823,14247.02
Door,minor,0.0186,0.6148,0.5886,0.0,3018.1509877032104,1850.2261147484421,4868.38
Door,moderate,0.2958,0.8267,0.4643,14020.395233738966,4082.780271690454,3422.391264902398,21525.57
Hood,minor,0.01,0.8504,0.5327,16321.423513624242,1822.582106964052,1994.666891401628,20138.67
Trunk,moderate,0.3205,0.9181,0.5881,0.0,2320.5456997277843,3709.566626275153,6030.11
Headlight,severe,0.6541,0.4537,0.6962,4244.272826934968,1673.2109612558481,0.0,5917.48
Bumper,moderate,0.1404,0.5808,0.8039,4913.3949766936385,1340.4670170687662,2636.9101470586843,8890.77
Door,minor,0.0774,0.9314,0.5389,0.0,2629.165792339084,2249.462147604044,4878.63
Fender,moderate,0.4465,0.9712,0.6313,0.0,3850.450856290666,4027.3818592685584,7877.83
Headlight,minor,0.01,0.8091,0.4096,0.0,740.4108116829191,0.0,800.0
Door,severe,0.492,0.737,0.8036,11161.897599758482,5266.113060053559,5114.316030178024,21542.33
Headlight,moderate,0.223,0.9255,0.9222,0.0,1102.7388271518062,0.0,1102.74
Door,minor,0.0789,0.8662,0.788,0.0,3373.4074513067685,3467.892322296216,6841.3
Light,minor,0.0181,0.8167,0.7781,0.0,580.2797309813486,0.0,800.0
Bumper,minor,0.0499,0.7197,0.7691,0.0,1903.7460692577592,2596.5540411346665,4500.3
Light,minor,0.0385,0.7164,0.7346,0.0,1520.6030931042121,0.0,1520.6
Trunk,severe,0.5993,0.8463,0.9528,16051.362319353659,2940.0290456383764,8050.103954155005,27041.5
Windshield,moderate,0.1,0.9011,0.5838,0.0,2236.3219735164234,0.0,2236.32
Trunk,minor,0.0829,0.6065,0.5871,0.0,1994.0344621649847,2444.452103889591,4438.49
Trunk,moderate,0.2165,0.934,0.6966,0.0,2937.7433897805035,4368.2787989005765,7306.02
Bumper,moderate,0.1944,0.5322,0.9695,0.0,2397.5582226059432,2858.062821730721,5255.62
Light,moderate,0.2372,0.8581,0.5252,3087.298500476138,1680.667930159457,0.0,4767.97
Windshield,moderate,0.2109,0.8287,0.4238,0.0,1957.8070220970474,0.0,1957.81
Trunk,minor,0.0631,0.6667,0.5005,0.0,2083.6514159793364,3158.7417219874005,5242.39
Bumper,moderate,0.2181,0.4753,0.7283,9909.579182946663,2330.0211223495835,3642.9707905375503,15882.57
Door,moderate,0.2295,0.5019,0.6851,9439.008365981228,3271.9693594001214,2574.8210837901884,15285.8
Headlight,minor,0.1134,0.7156,0.7128,10423.410380427513,1759.4559013784847,0.0,12182.87
Windshield,minor,0.035,0.755,0.6251,0.0,1397.814192184983,0.0,1397.81
Hood,minor,0.0644,0.6499,0.4226,0.0,2360.7170258766632,1804.0953813975293,4164.81
Fender,moderate,0.2967,0.8193,0.7648,4883.8670234634965,3402.090663878388,2439.4162221673623,10725.37
Windshield,minor,0.0635,0.5177,0.545,0.0,2064.6985886146185,0.0,2064.7
Trunk,minor,0.0476,0.9284,0.693,0.0,2505.0008210176447,2164.158533894447,4669.16
Trunk,minor,0.0323,0.7057,0.686,0.0,3201.6107338803595,2178.5731902143775,5380.18
Trunk,moderate,0.2202,0.712,0.4334,13365.805160563907,3547.2822847433895,3128.5192818062924,20041.61
Headlight,minor,0.0597,0.8944,0.6471,0.0,1396.4719887388299,0.0,1396.47
Trunk,minor,0.1003,0.6464,0.8714,0.0,2390.603645473973,1957.8422026567011,4348.45
Headlight,severe,0.3385,0.6803,0.5471,6966.381080904553,1211.2170055205222,0.0,8177.6
Fender,moderate,0.3569,0.6487,0.5657,3770.9510487623606,2823.0468750384503,5273.470404523629,11867.47
Trunk,moderate,0.3859,0.5841,0.8033,0.0,3703.14606424124,3888.3917037098518,7591.54
Bumper,moderate,0.2214,0.4741,0.563,0.0,2203.149043039692,4108.574701184845,6311.72
Trunk,minor,0.0237,0.641,0.5508,0.0,2180.885895968407,1833.335963428629,4014.22
Door,moderate,0.2265,0.8859,0.9509,0.0,3587.2023367049705,4272.49056432241,7859.69
